REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2020/09/01 00:30:00,7836.42,51.68,TRADE
NSW1,2020/09/01 01:00:00,7693.44,47.94,TRADE
NSW1,2020/09/01 01:30:00,7545.15,47.16,TRADE
NSW1,2020/09/01 02:00:00,7312.87,48.19,TRADE
NSW1,2020/09/01 02:30:00,6965.38,42.94,TRADE
NSW1,2020/09/01 03:00:00,6820.31,41.93,TRADE
NSW1,2020/09/01 03:30:00,6617.71,43.67,TRADE
NSW1,2020/09/01 04:00:00,6532.78,39.19,TRADE
NSW1,2020/09/01 04:30:00,6559.3,36.93,TRADE
NSW1,2020/09/01 05:00:00,6619.87,34.55,TRADE
NSW1,2020/09/01 05:30:00,6973.34,38.62,TRADE
NSW1,2020/09/01 06:00:00,7331.21,44.62,TRADE
NSW1,2020/09/01 06:30:00,7957.12,52.45,TRADE
NSW1,2020/09/01 07:00:00,8508.87,62.63,TRADE
NSW1,2020/09/01 07:30:00,8648.01,46.26,TRADE
NSW1,2020/09/01 08:00:00,8651.23,41.48,TRADE
NSW1,2020/09/01 08:30:00,8372.07,38.18,TRADE
NSW1,2020/09/01 09:00:00,7960.22,38.50,TRADE
NSW1,2020/09/01 09:30:00,7666.46,33.34,TRADE
NSW1,2020/09/01 10:00:00,7535.14,43.79,TRADE
NSW1,2020/09/01 10:30:00,7537.92,37.82,TRADE
NSW1,2020/09/01 11:00:00,7434.46,45.36,TRADE
NSW1,2020/09/01 11:30:00,7335.96,43.03,TRADE
NSW1,2020/09/01 12:00:00,7111.51,37.56,TRADE
NSW1,2020/09/01 12:30:00,7011.08,35.28,TRADE
NSW1,2020/09/01 13:00:00,6928.36,37.23,TRADE
NSW1,2020/09/01 13:30:00,6761.41,4.97,TRADE
NSW1,2020/09/01 14:00:00,6687.22,10.05,TRADE
NSW1,2020/09/01 14:30:00,6673.87,13.87,TRADE
NSW1,2020/09/01 15:00:00,6793.09,33.79,TRADE
NSW1,2020/09/01 15:30:00,6932.37,28.86,TRADE
NSW1,2020/09/01 16:00:00,7335.9,35.26,TRADE
NSW1,2020/09/01 16:30:00,7689.9,44.06,TRADE
NSW1,2020/09/01 17:00:00,8180.9,53.14,TRADE
NSW1,2020/09/01 17:30:00,8708.74,41.70,TRADE
